EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,?
1319183,35,No,Travel_Rarely,890,Cardiology,2,3,Marketing,1,4,Female,97,3,1,Other,4,Married,2014,9687,
1872551,36,No,Travel_Rarely,852,Maternity,5,4,Life Sciences,1,2,Female,82,2,1,Other,1,Married,3419,13072,
1060693,33,No,Travel_Frequently,1141,Cardiology,1,3,Life Sciences,1,3,Female,42,4,2,Nurse,1,Married,5376,3193,
1110390,35,No,Travel_Rarely,464,Maternity,4,2,Other,1,3,Male,75,3,1,Nurse,4,Divorced,1951,10910,
1448895,27,No,Travel_Rarely,1240,Maternity,2,4,Life Sciences,1,4,Female,33,3,1,Nurse,1,Divorced,2341,19715,
1547220,26,Yes,Travel_Rarely,1357,Maternity,25,3,Life Sciences,1,1,Male,48,1,1,Nurse,3,Single,2293,10558,
1680993,27,No,Travel_Frequently,994,Cardiology,8,3,Life Sciences,1,4,Male,37,3,3,Nurse,3,Single,8726,2975,
1100187,30,No,Travel_Frequently,721,Maternity,1,2,Medical,1,3,Female,58,3,2,Nurse,4,Single,4011,10781,
1881631,41,No,Travel_Rarely,1360,Neurology,12,3,Technical Degree,1,2,Female,49,3,5,Other,3,Married,19545,16280,
1622068,34,No,Non-Travel,1065,Cardiology,23,4,Marketing,1,2,Male,72,3,2,Nurse,3,Single,4568,10034,
1336903,37,No,Travel_Rarely,408,Maternity,19,2,Life Sciences,1,2,Male,73,3,1,Other,2,Married,3022,10227,
1126243,46,No,Travel_Frequently,1211,Cardiology,5,4,Marketing,1,1,Male,98,3,2,Nurse,4,Single,5772,20445,
1053707,35,No,Travel_Rarely,1229,Maternity,8,1,Life Sciences,1,4,Male,36,4,1,Nurse,4,Married,2269,4892,
1708688,48,Yes,Travel_Rarely,626,Maternity,1,2,Life Sciences,1,1,Male,98,2,3,Nurse,3,Single,5381,19294,
1208582,28,Yes,Travel_Rarely,1434,Maternity,5,4,Technical Degree,1,3,Male,50,3,1,Nurse,3,Single,3441,11179,
1127416,44,No,Travel_Rarely,1488,Cardiology,1,5,Marketing,1,2,Female,75,3,2,Nurse,1,Divorced,5454,4009,
1710090,35,No,Non-Travel,1097,Maternity,11,2,Medical,1,3,Male,79,2,3,Nurse,1,Married,9884,8302,
1146606,26,Yes,Travel_Rarely,1443,Cardiology,23,3,Marketing,1,3,Female,47,2,2,Nurse,4,Married,4157,21436,
1674685,33,No,Travel_Frequently,515,Neurology,1,2,Life Sciences,1,1,Female,98,3,3,Other,4,Single,13458,15146,
1477077,35,No,Travel_Frequently,853,Cardiology,18,5,Life Sciences,1,2,Male,71,3,3,Nurse,1,Married,9069,11031,
1269275,35,No,Travel_Rarely,1142,Maternity,23,4,Medical,1,3,Female,30,3,1,Nurse,1,Married,4014,16002,
1620694,31,No,Travel_Rarely,655,Maternity,7,4,Life Sciences,1,4,Male,48,3,2,Nurse,4,Divorced,5915,9528,
1618486,37,No,Travel_Rarely,1115,Neurology,1,4,Life Sciences,1,1,Male,51,2,2,Therapist,3,Divorced,5993,2689,
1208054,32,No,Travel_Rarely,427,Neurology,1,3,Medical,1,1,Male,33,3,2,Therapist,4,Married,6162,10877,
1545352,38,No,Travel_Frequently,653,Maternity,29,5,Life Sciences,1,4,Female,50,3,2,Nurse,4,Single,2406,5456,
1665908,50,No,Travel_Rarely,989,Neurology,7,2,Medical,1,2,Female,43,2,5,Other,3,Divorced,18740,16701,
1312106,59,No,Travel_Rarely,1435,Cardiology,25,3,Life Sciences,1,1,Female,99,3,3,Nurse,1,Single,7637,2354,
1391215,36,No,Travel_Rarely,1223,Maternity,8,3,Technical Degree,1,3,Female,59,3,3,Nurse,3,Divorced,10096,8202,
1677994,55,No,Travel_Rarely,836,Neurology,8,3,Medical,1,4,Female,33,3,4,Other,3,Divorced,14756,19730,
1216003,36,No,Travel_Frequently,1195,Maternity,11,3,Life Sciences,1,2,Male,95,2,2,Therapist,2,Single,6499,22656,
1503437,45,No,Travel_Rarely,1339,Maternity,7,3,Life Sciences,1,2,Male,59,3,3,Other,1,Divorced,9724,18787,
1381585,35,No,Travel_Frequently,664,Maternity,1,3,Medical,1,2,Male,79,3,1,Other,1,Married,2194,5868,
1312369,36,Yes,Travel_Rarely,318,Maternity,9,3,Medical,1,4,Male,79,2,1,Other,3,Married,3388,21777,
1576355,59,No,Travel_Frequently,1225,Cardiology,1,1,Life Sciences,1,1,Female,57,2,2,Nurse,3,Single,5473,24668,
1659485,29,No,Travel_Rarely,1328,Maternity,2,3,Life Sciences,1,3,Male,76,3,1,Other,2,Married,2703,4956,
1530200,31,No,Travel_Rarely,1082,Maternity,1,4,Medical,1,3,Male,87,3,1,Other,2,Single,2501,18775,
1773482,32,No,Travel_Rarely,548,Maternity,1,3,Life Sciences,1,2,Male,66,3,2,Other,2,Married,6220,7346,
1188108,36,No,Travel_Rarely,132,Maternity,6,3,Life Sciences,1,2,Female,55,4,1,Nurse,4,Married,3038,22002,
1471418,31,No,Travel_Rarely,746,Cardiology,8,4,Life Sciences,1,3,Female,61,3,2,Therapist,4,Single,4424,20682,
1081842,35,No,Travel_Rarely,776,Cardiology,1,4,Marketing,1,3,Male,32,2,2,Nurse,1,Single,4312,23016,
1146021,45,No,Travel_Rarely,193,Neurology,6,4,Other,1,4,Male,52,3,3,Other,1,Married,13245,15067,
1880248,37,No,Travel_Rarely,397,Neurology,7,4,Medical,1,1,Male,30,3,3,Other,3,Single,13664,25258,
1267807,46,No,Travel_Rarely,945,Neurology,5,2,Medical,1,2,Male,80,3,2,Other,2,Divorced,5021,10425,
1247348,30,No,Travel_Rarely,852,Maternity,1,1,Life Sciences,1,4,Male,55,2,2,Nurse,4,Married,5126,15998,
1886039,35,No,Travel_Rarely,1214,Maternity,1,3,Medical,1,2,Male,30,2,1,Other,3,Single,2859,26278,
1134060,55,No,Travel_Rarely,111,Cardiology,1,2,Life Sciences,1,1,Male,70,3,3,Nurse,4,Married,10239,18092,
1403326,38,No,Non-Travel,573,Maternity,6,3,Medical,1,2,Female,79,1,2,Other,4,Divorced,5329,15717,
1689558,34,No,Travel_Rarely,1153,Neurology,1,2,Medical,1,1,Male,94,3,2,Therapist,2,Married,4325,17736,
1122798,56,No,Travel_Rarely,1400,Neurology,7,3,Life Sciences,1,4,Male,49,1,3,Therapist,4,Single,7260,21698,
1477348,23,No,Travel_Rarely,541,Cardiology,2,1,Technical Degree,1,3,Male,62,3,1,Other,1,Divorced,2322,9518,
1061371,51,No,Travel_Rarely,432,Maternity,9,4,Life Sciences,1,4,Male,96,3,1,Nurse,4,Married,2075,18725,
1535342,30,No,Travel_Rarely,288,Maternity,2,3,Life Sciences,1,3,Male,99,2,2,Nurse,4,Married,4152,15830,
1386780,46,No,Travel_Rarely,669,Cardiology,9,2,Medical,1,3,Male,64,2,3,Nurse,4,Single,9619,13596,
1254775,40,No,Travel_Frequently,530,Maternity,1,4,Life Sciences,1,3,Male,78,2,4,Nurse,2,Married,13503,14115,
1818921,51,No,Travel_Rarely,632,Cardiology,21,4,Marketing,1,3,Male,71,3,2,Nurse,4,Single,5441,8423,
1848882,30,No,Travel_Rarely,1334,Cardiology,4,2,Medical,1,3,Female,63,2,2,Nurse,2,Divorced,5209,19760,
1537412,46,No,Travel_Frequently,638,Maternity,1,3,Medical,1,3,Male,40,2,3,Nurse,1,Married,10673,3142,
1231380,32,No,Travel_Rarely,1093,Cardiology,6,4,Medical,1,2,Male,87,3,2,Nurse,3,Single,5010,24301,
1293078,54,No,Travel_Rarely,1217,Neurology,2,4,Technical Degree,1,1,Female,60,3,3,Other,3,Married,13549,24001,
1026798,24,No,Travel_Rarely,1353,Cardiology,3,2,Other,1,1,Female,33,3,2,Nurse,3,Married,4999,17519,
1500402,28,No,Non-Travel,120,Cardiology,4,3,Medical,1,2,Male,43,3,2,Nurse,3,Married,4221,8863,
1514098,58,No,Travel_Rarely,682,Cardiology,10,4,Medical,1,4,Male,37,3,4,Nurse,3,Single,13872,24409,
1487216,44,No,Non-Travel,489,Maternity,23,3,Medical,1,2,Male,67,3,2,Nurse,2,Married,2042,25043,
1843825,37,Yes,Travel_Rarely,807,Neurology,6,4,Human Resources,1,3,Male,63,3,1,Other,1,Divorced,2073,23648,
1635251,32,No,Travel_Rarely,827,Maternity,1,1,Life Sciences,1,4,Male,71,3,1,Other,1,Single,2956,15178,
1088304,20,Yes,Travel_Frequently,871,Maternity,6,3,Life Sciences,1,4,Female,66,2,1,Nurse,4,Single,2926,19783,
1792856,34,No,Travel_Rarely,665,Maternity,6,4,Other,1,1,Female,41,3,2,Other,3,Single,4809,12482,
1787161,37,No,Non-Travel,1040,Maternity,2,2,Life Sciences,1,3,Male,100,2,2,Nurse,4,Divorced,5163,15850,
1627796,59,No,Non-Travel,1420,Neurology,2,4,Human Resources,1,3,Female,32,2,5,Administrative,4,Married,18844,21922,
1077558,50,No,Travel_Frequently,1115,Neurology,1,3,Life Sciences,1,1,Female,73,3,5,Other,2,Married,18172,9755,
1410589,25,Yes,Travel_Rarely,240,Cardiology,5,3,Marketing,1,3,Male,46,2,2,Nurse,3,Single,5744,26959,
1657986,25,No,Travel_Rarely,1280,Maternity,7,1,Medical,1,4,Male,64,2,1,Other,4,Married,2889,26897,
1353326,22,No,Travel_Rarely,534,Maternity,15,3,Medical,1,2,Female,59,3,1,Nurse,4,Single,2871,23785,
1523794,51,No,Travel_Frequently,1456,Maternity,1,4,Medical,1,1,Female,30,2,3,Nurse,1,Single,7484,25796,
1851151,34,Yes,Travel_Frequently,658,Maternity,7,3,Life Sciences,1,1,Male,66,1,2,Nurse,3,Single,6074,22887,
1645988,54,No,Non-Travel,142,Neurology,26,3,Human Resources,1,4,Female,30,4,4,Administrative,4,Single,17328,13871,
1849283,24,No,Travel_Rarely,1127,Maternity,18,1,Life Sciences,1,2,Male,52,3,1,Nurse,3,Married,2774,13257,
1073480,34,No,Travel_Rarely,1031,Maternity,6,4,Life Sciences,1,3,Female,45,2,2,Other,2,Divorced,4505,15000,
1157113,37,No,Travel_Rarely,1189,Cardiology,3,3,Life Sciences,1,3,Male,87,3,3,Nurse,4,Single,7428,14506,
1130224,34,No,Travel_Rarely,1354,Neurology,5,3,Medical,1,3,Female,45,2,3,Other,1,Single,11631,5615,
1427732,36,No,Travel_Frequently,1467,Cardiology,11,2,Technical Degree,1,2,Female,92,3,3,Nurse,4,Married,9738,22952,
1852975,36,No,Travel_Rarely,922,Maternity,3,2,Life Sciences,1,1,Female,39,3,1,Nurse,4,Divorced,2835,2561,
1845017,43,No,Travel_Frequently,394,Cardiology,26,2,Life Sciences,1,3,Male,92,3,4,Administrative,4,Married,16959,19494,
1212660,30,No,Travel_Frequently,1312,Maternity,23,3,Life Sciences,1,1,Male,96,1,1,Other,3,Divorced,2613,22310,
1264790,33,No,Non-Travel,750,Cardiology,22,2,Marketing,1,3,Male,95,3,2,Nurse,2,Married,6146,15480,
1515486,56,Yes,Travel_Rarely,441,Maternity,14,4,Life Sciences,1,2,Female,72,3,1,Other,2,Married,4963,4510,
1832980,51,No,Travel_Rarely,684,Neurology,6,3,Life Sciences,1,1,Male,51,3,5,Other,3,Single,19537,6462,
1031688,31,Yes,Travel_Rarely,249,Cardiology,6,4,Life Sciences,1,2,Male,76,1,2,Nurse,3,Married,6172,20739,
1433172,26,No,Travel_Rarely,841,Maternity,6,3,Other,1,3,Female,46,2,1,Other,2,Married,2368,23300,
1607390,58,No,Travel_Rarely,147,Maternity,23,4,Medical,1,4,Female,94,3,3,Nurse,4,Married,10312,3465,
1842764,19,Yes,Travel_Rarely,528,Cardiology,22,1,Marketing,1,4,Male,50,3,1,Other,3,Single,1675,26820,
1176986,22,No,Travel_Rarely,594,Maternity,2,1,Technical Degree,1,3,Male,100,3,1,Nurse,4,Married,2523,19299,
1835832,49,No,Travel_Rarely,470,Maternity,20,4,Medical,1,3,Female,96,3,2,Therapist,1,Married,6567,5549,
1450885,43,No,Travel_Frequently,957,Maternity,28,3,Medical,1,2,Female,72,4,1,Other,3,Single,4739,16090,
1810635,50,No,Travel_Frequently,809,Cardiology,12,3,Marketing,1,3,Female,77,3,3,Nurse,4,Single,9208,6645,
1810242,31,Yes,Travel_Rarely,542,Cardiology,20,3,Life Sciences,1,2,Female,71,1,2,Nurse,3,Married,4559,24788,
1148129,41,No,Travel_Rarely,802,Cardiology,9,1,Life Sciences,1,3,Male,96,3,3,Nurse,3,Divorced,8189,21196,
1085450,26,No,Travel_Rarely,1355,Neurology,25,1,Life Sciences,1,3,Female,61,3,1,Other,3,Married,2942,8916,
1699939,36,No,Travel_Rarely,216,Neurology,6,2,Medical,1,2,Male,84,3,2,Therapist,2,Divorced,4941,2819,
1612623,51,Yes,Travel_Frequently,1150,Cardiology,8,4,Life Sciences,1,1,Male,53,1,3,Therapist,4,Single,10650,25150,
1069811,39,No,Travel_Rarely,1329,Cardiology,4,4,Life Sciences,1,4,Female,47,2,2,Nurse,3,Married,5902,14590,
1717795,25,No,Travel_Rarely,959,Cardiology,28,3,Life Sciences,1,1,Male,41,2,2,Nurse,3,Married,8639,24835,
1341925,30,No,Travel_Rarely,1240,Neurology,9,3,Human Resources,1,3,Male,48,3,2,Other,4,Married,6347,13982,
1113668,32,Yes,Travel_Rarely,1033,Maternity,9,3,Medical,1,1,Female,41,3,1,Nurse,1,Single,4200,10224,
1164932,45,No,Travel_Rarely,1316,Maternity,29,3,Medical,1,3,Male,83,3,1,Other,4,Single,3452,9752,
1328110,38,No,Travel_Rarely,364,Maternity,3,5,Technical Degree,1,4,Female,32,3,2,Other,3,Single,4317,2302,
1744823,30,No,Travel_Rarely,438,Maternity,18,3,Life Sciences,1,1,Female,75,3,1,Other,3,Single,2632,23910,
1431031,32,No,Travel_Frequently,689,Cardiology,9,2,Medical,1,4,Male,35,1,2,Nurse,4,Divorced,4668,22812,
1587864,30,No,Travel_Rarely,201,Maternity,5,3,Technical Degree,1,4,Female,84,3,1,Other,1,Divorced,3204,10415,
1577226,30,No,Travel_Rarely,1427,Maternity,2,1,Medical,1,2,Male,35,2,1,Nurse,4,Single,2720,11162,
1162762,41,No,Travel_Frequently,857,Neurology,10,3,Life Sciences,1,4,Male,91,2,4,Other,1,Divorced,17181,12888,
1035340,41,No,Travel_Rarely,933,Maternity,9,4,Life Sciences,1,3,Male,94,3,1,Nurse,1,Married,2238,6961,
1529493,19,No,Travel_Rarely,1181,Maternity,3,1,Medical,1,2,Female,79,3,1,Nurse,2,Single,1483,16102,
1789511,40,No,Travel_Frequently,1395,Maternity,26,3,Medical,1,2,Female,54,3,2,Other,2,Divorced,5605,8504,
1047751,35,No,Travel_Rarely,662,Cardiology,1,5,Marketing,1,3,Male,94,3,3,Nurse,2,Married,7295,11439,
1057195,53,No,Travel_Rarely,1436,Cardiology,6,2,Marketing,1,2,Male,34,3,2,Other,3,Married,2306,16047,
1682385,45,No,Travel_Rarely,194,Maternity,9,3,Life Sciences,1,2,Male,60,3,2,Nurse,2,Divorced,2348,10901,
1314990,32,No,Travel_Frequently,967,Cardiology,8,3,Marketing,1,2,Female,43,3,3,Nurse,4,Single,8998,15589,
1157784,29,No,Non-Travel,1496,Neurology,1,1,Technical Degree,1,4,Male,41,3,2,Therapist,3,Married,4319,26283,
1819484,51,No,Travel_Rarely,1169,Neurology,7,4,Medical,1,2,Male,34,2,2,Therapist,3,Married,6132,13983,
1172011,58,No,Travel_Rarely,1145,Maternity,9,3,Medical,1,2,Female,75,2,1,Other,2,Married,3346,11873,
1562685,40,No,Travel_Rarely,630,Cardiology,4,4,Marketing,1,3,Male,67,2,3,Nurse,4,Married,10855,8552,
1404919,34,No,Travel_Frequently,303,Cardiology,2,4,Marketing,1,3,Female,75,3,1,Other,3,Married,2231,11314,
1751538,22,No,Travel_Rarely,1256,Maternity,19,1,Medical,1,3,Male,80,3,1,Other,4,Married,2323,11992,
1883822,27,No,Non-Travel,691,Maternity,9,3,Medical,1,4,Male,57,3,1,Other,2,Divorced,2024,5970,
1460812,28,No,Travel_Rarely,440,Maternity,21,3,Medical,1,3,Male,42,3,1,Other,4,Married,2713,6672,
1303708,57,No,Travel_Rarely,334,Maternity,24,2,Life Sciences,1,3,Male,83,4,3,Nurse,4,Divorced,9439,23402,
1224013,27,Yes,Non-Travel,1450,Maternity,3,3,Medical,1,3,Male,79,2,1,Other,3,Divorced,2566,25326,
1495862,50,No,Travel_Rarely,1452,Neurology,11,3,Life Sciences,1,3,Female,53,3,5,Other,2,Single,19926,17053,
1379450,41,No,Travel_Rarely,465,Maternity,14,3,Life Sciences,1,1,Male,56,3,1,Other,3,Divorced,2451,4609,
1138977,30,No,Travel_Rarely,1339,Cardiology,5,3,Life Sciences,1,2,Female,41,3,3,Nurse,4,Married,9419,8053,
1726077,38,No,Travel_Rarely,702,Cardiology,1,4,Life Sciences,1,1,Female,59,2,2,Nurse,4,Single,8686,12930,
1101855,32,No,Travel_Rarely,120,Maternity,6,5,Life Sciences,1,3,Male,43,3,1,Other,3,Single,3038,12430,
1715001,27,No,Travel_Rarely,1157,Maternity,17,3,Technical Degree,1,3,Male,51,3,1,Other,2,Married,3058,13364,
1820041,19,Yes,Travel_Frequently,602,Cardiology,1,1,Technical Degree,1,3,Female,100,1,1,Other,1,Single,2325,20989,
1540435,36,No,Travel_Frequently,1480,Maternity,3,2,Medical,1,4,Male,30,3,1,Nurse,2,Single,2088,15062,
1340085,30,No,Non-Travel,111,Maternity,9,3,Medical,1,3,Male,66,3,2,Nurse,1,Divorced,3072,11012,
1319352,45,No,Travel_Rarely,1268,Cardiology,4,2,Life Sciences,1,3,Female,30,3,2,Nurse,1,Divorced,5006,6319,
1722423,56,No,Travel_Rarely,713,Maternity,8,3,Life Sciences,1,3,Female,67,3,1,Other,1,Divorced,4257,13939,
1853558,33,No,Travel_Rarely,134,Maternity,2,3,Life Sciences,1,3,Male,90,3,1,Other,4,Single,2500,10515,
1517594,19,Yes,Travel_Rarely,303,Maternity,2,3,Life Sciences,1,2,Male,47,2,1,Nurse,4,Single,1102,9241,
1700841,46,No,Travel_Rarely,526,Cardiology,1,2,Marketing,1,2,Female,92,3,3,Nurse,1,Divorced,10453,2137,
1665761,38,No,Travel_Rarely,1380,Maternity,9,2,Life Sciences,1,3,Female,75,3,1,Nurse,4,Single,2288,6319,
1224843,31,No,Travel_Rarely,140,Maternity,12,1,Medical,1,3,Female,95,3,1,Other,4,Married,3929,6984,
1739412,34,No,Travel_Rarely,629,Maternity,27,2,Medical,1,4,Female,95,3,1,Other,2,Single,2311,5711,
1190255,41,Yes,Travel_Rarely,1356,Cardiology,20,2,Marketing,1,2,Female,70,3,1,Other,2,Single,3140,21728,
1820323,50,No,Travel_Rarely,328,Maternity,1,3,Medical,1,3,Male,86,2,1,Nurse,3,Married,3690,3425,
1477195,53,No,Travel_Rarely,1084,Maternity,13,2,Medical,1,4,Female,57,4,2,Therapist,1,Divorced,4450,26250,
1383313,33,No,Travel_Rarely,931,Maternity,14,3,Medical,1,4,Female,72,3,1,Other,2,Married,2756,4673,
1385477,40,No,Travel_Rarely,989,Neurology,4,1,Medical,1,4,Female,46,3,5,Other,3,Married,19033,6499,
1060337,55,No,Travel_Rarely,692,Neurology,14,4,Medical,1,3,Male,61,4,5,Other,2,Single,18722,13339,
1180048,34,No,Travel_Frequently,1069,Neurology,2,1,Life Sciences,1,4,Male,45,2,2,Therapist,3,Married,9547,14074,
1730525,51,No,Travel_Rarely,313,Maternity,3,3,Medical,1,4,Female,98,3,4,Nurse,2,Single,13734,7192,
1173311,52,No,Travel_Rarely,699,Neurology,1,4,Life Sciences,1,3,Male,65,2,5,Other,3,Married,19999,5678,
1155351,27,No,Travel_Rarely,894,Maternity,9,3,Medical,1,4,Female,99,3,1,Other,2,Single,2279,11781,
1409777,35,Yes,Travel_Rarely,556,Maternity,23,2,Life Sciences,1,2,Male,50,2,2,Therapist,3,Married,5916,15497,
1175384,43,No,Non-Travel,1344,Maternity,7,3,Medical,1,4,Male,37,4,1,Other,4,Divorced,2089,5228,
1447981,45,No,Non-Travel,1195,Neurology,2,2,Medical,1,1,Male,65,2,4,Other,4,Married,16792,20462,
1643490,37,No,Travel_Rarely,290,Maternity,21,3,Life Sciences,1,2,Male,65,4,1,Other,1,Married,3564,22977,
1132287,35,No,Travel_Frequently,138,Maternity,2,3,Medical,1,2,Female,37,3,2,Nurse,2,Single,4425,15986,
1238447,42,No,Non-Travel,926,Maternity,21,2,Medical,1,3,Female,36,3,2,Therapist,3,Divorced,5265,16439,
1314186,38,No,Travel_Rarely,1261,Neurology,2,4,Life Sciences,1,4,Male,88,3,2,Therapist,3,Married,6553,7259,
1416095,38,No,Travel_Rarely,1084,Maternity,29,3,Technical Degree,1,4,Male,54,3,2,Therapist,4,Married,6261,4185,
1572943,27,No,Travel_Frequently,472,Neurology,1,1,Technical Degree,1,3,Male,60,2,2,Therapist,1,Married,4298,9679,
1285655,49,No,Non-Travel,1002,Maternity,18,4,Life Sciences,1,4,Male,92,3,2,Therapist,4,Divorced,6804,23793,
1620253,34,No,Travel_Frequently,878,Maternity,10,4,Medical,1,4,Male,43,3,1,Other,3,Divorced,3815,5972,
1224749,40,No,Travel_Rarely,905,Maternity,19,2,Medical,1,3,Male,99,3,2,Nurse,4,Married,2741,16523,
1056367,38,Yes,Travel_Rarely,1180,Maternity,29,1,Medical,1,2,Male,70,3,2,Nurse,1,Married,6673,11354,
1446715,29,No,Travel_Rarely,121,Cardiology,27,3,Marketing,1,2,Female,35,3,3,Nurse,4,Married,7639,24525,
1872375,22,No,Travel_Rarely,1136,Maternity,5,3,Life Sciences,1,4,Male,60,4,1,Other,2,Divorced,2328,12392,
1251693,36,No,Travel_Frequently,635,Maternity,18,1,Medical,1,2,Female,73,3,1,Nurse,4,Single,2153,7703,
1474327,40,No,Non-Travel,1151,Maternity,9,5,Life Sciences,1,4,Male,63,2,2,Nurse,4,Married,4876,14242,
1721417,46,No,Travel_Rarely,644,Maternity,1,4,Medical,1,4,Male,97,3,3,Nurse,1,Divorced,9396,12368,
1723897,32,No,Travel_Rarely,1045,Cardiology,4,4,Medical,1,4,Male,32,1,3,Nurse,4,Married,10400,25812,
1847119,30,No,Non-Travel,829,Neurology,1,1,Life Sciences,1,3,Male,88,2,3,Therapist,3,Single,8474,20925,
1213142,27,No,Travel_Frequently,1242,Cardiology,20,3,Life Sciences,1,4,Female,90,3,2,Nurse,3,Single,9981,12916,
1155192,51,No,Travel_Rarely,1469,Neurology,8,4,Life Sciences,1,2,Male,81,2,3,Other,2,Married,12490,15736,
